State,City,Overall Percentile Rank,,Address,36.5677206,139.9033588
Illinois,North Riverside,2,,"North Riverside, Illinois",41.8428094,-87.8231138
Michigan,Hamtramck,3,,"Hamtramck, Michigan",42.3928151,-83.0496438
West Virginia,Huntington,1,,"Huntington, West Virginia",38.4192496,-82.445154
Alabama,Montgomery,16,,"Montgomery, Alabama",32.3668052,-86.2999689
Illinois,Chicago,1,,"Chicago, Illinois",41.8781136,-87.6297982
Alabama,Scottsboro,14,,"Scottsboro, Alabama",34.6723069,-86.0341463
New York,New York,1,,"New York, New York",40.7127837,-74.0059413
West Virginia,Princeton,5,,"Princeton, West Virginia",37.3662293,-81.1025918
West Virginia,South Charleston,1,,"South Charleston, West Virginia",38.3685523,-81.6998865
Illinois,Kankakee,2,,"Kankakee, Illinois",41.1200325,-87.8611531
Michigan,Melvindale,3,,"Melvindale, Michigan",42.2825383,-83.175203
Illinois,Waukegan,6,,"Waukegan, Illinois",42.3636331,-87.8447938
West Virginia,Nitro,6,,"Nitro, West Virginia",38.4148146,-81.8440197
Michigan,Allen Park,15,,"Allen Park, Michigan",42.2575385,-83.2110375
Michigan,Harper Woods,5,,"Harper Woods, Michigan",42.4330924,-82.9240833
Illinois,Chicago Heights,4,,"Chicago Heights, Illinois",41.506146,-87.6355995
West Virginia,Morgantown,4,,"Morgantown, West Virginia",39.629526,-79.9558968
Massachusetts,Pittsfield,2,,"Pittsfield, Massachusetts",42.4500845,-73.2453824
West Virginia,St Albans,6,,"St Albans, West Virginia",38.3793695,-81.8191658
Texas,Houston,6,,"Houston, Texas",29.7604267,-95.3698028
Illinois,Riverdale,8,,"Riverdale, Illinois",41.6333678,-87.6331021
Alabama,Birmingham,4,,"Birmingham, Alabama",33.5206608,-86.80249
Michigan,Fraser,4,,"Fraser, Michigan",42.539202,-82.9493652
Illinois,Matteson,5,,"Matteson, Illinois",41.5039235,-87.7131018
Massachusetts,Lawrence,2,,"Lawrence, Massachusetts",42.7070354,-71.1631137
Massachusetts,Gloucester,2,,"Gloucester, Massachusetts",42.6159285,-70.6619888
Illinois,Franklin Park,2,,"Franklin Park, Illinois",41.9348537,-87.879523
Massachusetts,Agawam Town,1,,"Agawam Town, Massachusetts",42.0695391,-72.6148117
Illinois,Oak Lawn,5,,"Oak Lawn, Illinois",41.719978,-87.7479528
Michigan,Oak Park,7,,"Oak Park, Michigan",42.4594803,-83.1827051
West Virginia,Williamson,7,,"Williamson, West Virginia",37.6742682,-82.2773629
Indiana,Indianapolis,13,,"Indianapolis, Indiana",39.768403,-86.158068
Michigan,Westland,9,,"Westland, Michigan",42.324204,-83.400211
Illinois,Granite City,3,,"Granite City, Illinois",38.7014389,-90.1487199
Michigan,Hazel Park,6,,"Hazel Park, Michigan",42.4625362,-83.1040912
Massachusetts,Melrose,4,,"Melrose, Massachusetts",42.4584292,-71.0661633
West Virginia,Parkersburg,2,,"Parkersburg, West Virginia",39.2667418,-81.5615135
Michigan,Detroit,7,,"Detroit, Michigan",42.331427,-83.0457538
Michigan,Flint,1,,"Flint, Michigan",43.0125274,-83.6874562
Nebraska,Omaha,4,,"Omaha, Nebraska",41.2523634,-95.9979883
Illinois,Rosemont,7,,"Rosemont, Illinois",41.9867507,-87.8721602
Massachusetts,Attleboro,7,,"Attleboro, Massachusetts",41.9445441,-71.2856082
Oregon,Portland,2,,"Portland, Oregon",45.5230622,-122.6764816
Rhode Island,Woonsocket,9,,"Woonsocket, Rhode Island",42.0028761,-71.5147839
Massachusetts,Holyoke,2,,"Holyoke, Massachusetts",42.2042586,-72.6162009
